Category Name,Delivery %,No Risk Impressions,Suitability %,Available Impressions,Viewability,VTR,CTR,VCR
Music,0.146859188,1053227,0.999212566,1054057,89.742,100,0,81.584
Pop Music,0.059662586,427830,0.999114918,428209,89.682,100,0,82.28
Kpop and Jpop Music,0.058908527,422652,0.999635767,422806,90.393,100,0,82.566
Rock Music,0.020823157,149219,0.998634748,149423,90.769,1.78,0,82.369
Electronic Music,0.011146148,79833,0.998761447,79932,89.245,100,0,81.535
Hip Hop Music,0.007201534,51540,0.998005538,51643,87.474,100,0,78.248
Music Festivals,0.004887952,35059,0.99999,35059,92.764,100,0,85.613
Latin Music,0.001478253,10590,0.99999,10590,89.234,100,0,81.477
Country Music,0.001258065,8971,0.995229643,9014,92.054,0.11,0,85.345
Anime,0.194547806,1394645,0.998790404,1396334,92.331,16.855,0,85.223
Television,0.031168373,223178,0.997670978,223699,95.098,100,0,90.154
Family Film,0.023605154,169343,0.999533709,169422,92.951,100,0,86.73
Movies,0.018513152,132155,0.994588859,132874,93.761,100,0,87.783
Drama Film,0.023851528,170303,0.994824434,171189,96.905,100,0,93.512
Comedy Film,0.009236024,66212,0.998823352,66290,92.916,0.807,0,87.681
Horror and Thriller Film,0.001945119,13643,0.977362275,13959,92.683,100,0,86.938
Diy,0.067245192,482170,0.999024119,482641,94.741,100,0,89.783
Home Improvement,0.025274994,181356,0.999718864,181407,96.62,100,0,92.509
Arts and Crafts,0.005230118,37536,0.999946721,37538,91.794,100,0,86.046
Food,0.054061039,387469,0.998603132,388011,95.517,4.932,0,91.053
Beverages,0.007314657,52204,0.994399787,52498,95.336,100,0,91.017
Education,0.060694428,435447,0.999593686,435624,93.701,100,0,87.927
Technology,0.017526431,125388,0.996780425,125793,92.458,100,0,85.72
Travel,0.048293667,346122,0.998586316,346612,95.655,4.425,0,91.074
Outdoor,0.040248806,288500,0.998688032,288879,95.679,100,0,91.163
Celebrity,0.057518596,412354,0.998846983,412830,92.421,100,0,85.973
Dance,0.040692982,291947,0.999589135,292067,91.783,100,0,84.416
Luxury,0.020983111,150575,0.999840636,150599,95.077,100,0,89.991
Fine Arts,0.00675316,48468,0.99999,48468,92.012,100,0,84.671
Drag,5.43238E-05,381,0.99999,381,93.176,100,0,83.421
Automotive,0.027608174,198083,0.999646738,198153,94.191,100,0,88.068
Pets,0.019606035,140692,0.999808128,140719,93.816,1.716,0,88.117
Sports,0.014960711,107192,0.998286395,107376,94.426,100,0,88.622
Fashion,0.017436943,125035,0.999089086,125149,93.116,100,0,87.123
Beauty,0.014694347,105161,0.997117527,105465,93.555,100,0,87.982
Fitness,0.009658956,69201,0.998225723,69324,94.039,100,0,87.36
Women's Fitness,0.005537049,39650,0.997760387,39739,94.02,100,0,87.646
Health,0.000365597,2620,0.99999,2620,92.923,100,0,85.245
Healthy Food and Drink,0.00036235,2596,0.99999,2596,95.682,100,0,90.338
Social Good,0.008441717,60579,0.999834954,60589,95.146,100,0,90.774
Halloween,0.000198203,1422,0.99999,1422,87.659,0.016,0,78.305
Back to School,7.44541E-05,533,0.99999,533,90.619,100,0,82.543
